ID,Name,Owner,Controler,Religion,Culture
2344,Marib,YEM,YEM,sunni,yemeni_culture
2345,Beihan,YEM,YEM,sunni,yemeni_culture
2346,Jazan,YEM,YEM,sunni,hejazi_culture
2347,Hofuf,TUN,TUN,sunni,gulf_arabic
2348,Chios,RUM,RUM,orthodox,greek
2349,Kizil-Su,KHI,KHI,sunni,turkmeni
2350,Konjikala,KHI,KHI,sunni,turkmeni
2351,Shekty,TEU,TEU,sunni,khazak
2352,Alty-Kuduk,NOG,NOG,sunni,khazak
2353,Tortkara,NOG,NOG,sunni,khazak
2354,Shegendyk,CHG,CHG,sunni,khazak
2355,Narym,CHG,CHG,sunni,khazak
2356,Shymkent,TRS,TRS,sunni,uzbehk
2357,Aksary,NOG,NOG,sunni,khazak
